"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Somerset Hills Regional School District, New Jersey","3400009",7689,412,1032,1059,2591,2595,3303,106,504,498,1125,1070,2905,60,234,346,1099,1166,115,0,10,0,48,57,1366,246,284,215,319,302
"Absecon City School District, New Jersey","3400660",6145,790,1746,1838,1091,680,3313,365,1117,957,578,296,1927,209,462,697,301,258,190,27,31,29,96,7,715,189,136,155,116,119
"Allamuchy Township School District, New Jersey","3400720",3331,90,713,724,1124,680,1535,25,386,437,446,241,1370,0,249,262,540,319,77,46,0,0,0,31,349,19,78,25,138,89
"Allenhurst Borough School District, New Jersey","3400780",381,9,65,79,115,113,273,9,47,51,73,93,95,0,18,28,31,18,0,0,0,0,0,0,13,0,0,0,11,2
"Alloway Township School District, New Jersey","3400810",2333,113,812,811,466,131,1541,71,582,479,344,65,690,25,196,319,102,48,14,0,0,0,14,0,88,17,34,13,6,18
"Alpha Borough School District, New Jersey","3400840",1647,194,807,396,195,55,1151,152,573,285,118,23,374,35,188,97,46,8,30,3,22,5,0,0,92,4,24,9,31,24
"Alpine Borough School District, New Jersey","3400870",1283,57,177,179,470,400,289,3,66,45,97,78,478,7,69,63,191,148,9,7,0,0,2,0,507,40,42,71,180,174
"Andover Regional School District, New Jersey","3400900",5032,442,1245,1470,1147,728,2571,197,722,839,525,288,1839,193,343,490,519,294,48,0,24,14,2,8,574,52,156,127,101,138
"Asbury Park City School District, New Jersey","3400930",10463,1932,3865,2509,1300,857,4723,765,1550,1314,712,382,2404,275,888,546,401,294,290,84,73,74,41,18,3046,808,1354,575,146,163
"Atlantic City School District, New Jersey","3400960",25654,7905,8306,5433,3133,877,8257,2161,3074,2199,762,61,6237,1175,2323,1507,789,443,1132,565,376,119,47,25,10028,4004,2533,1608,1535,348
"Audubon Borough School District, New Jersey","3401050",7143,629,2365,2104,1446,599,4112,265,1460,1302,814,271,2600,221,755,760,597,267,92,30,32,0,15,15,339,113,118,42,20,46
"Avalon Borough School District, New Jersey","3401110",1653,27,336,306,596,388,289,2,79,56,115,37,1293,25,237,247,467,317,4,0,0,0,0,4,67,0,20,3,14,30
"Avon-by-the-Sea Borough School District, New Jersey","3401140",1419,10,179,300,563,367,1014,10,143,201,443,217,367,0,36,87,105,139,11,0,0,6,0,5,27,0,0,6,15,6
"Barrington Borough School District, New Jersey","3401170",5144,430,1503,1780,1001,430,2641,254,831,933,466,157,2318,160,541,824,520,273,61,0,61,0,0,0,124,16,70,23,15,0
"Bay Head Borough School District, New Jersey","3401230",810,3,113,179,295,220,567,0,81,149,207,130,227,3,29,24,87,84,0,0,0,0,0,0,16,0,3,6,1,6
"Bayonne City School District, New Jersey","3401260",45098,5375,16658,9269,9861,3935,22383,2389,9570,4623,4065,1736,5769,454,1736,1602,1407,570,1557,312,759,310,136,40,15389,2220,4593,2734,4253,1589
"Bedminster Township School District, New Jersey","3401320",6592,106,946,1299,2460,1781,2987,56,434,793,1125,579,2443,24,281,335,979,824,31,0,3,0,9,19,1131,26,228,171,347,359
"Belleville Town School District, New Jersey","3401350",25420,3470,8421,6973,4960,1596,9995,811,4015,2826,1756,587,3256,207,1169,958,665,257,1384,307,449,439,164,25,10785,2145,2788,2750,2375,727
"Belmar Borough School District, New Jersey","3401410",4553,440,1255,867,1366,625,2928,152,702,584,1074,416,870,70,212,177,249,162,92,0,51,41,0,0,663,218,290,65,43,47
"Belvidere Town School District, New Jersey","3401440",1825,173,674,417,363,198,1129,76,434,281,208,130,626,97,202,125,148,54,29,0,29,0,0,0,41,0,9,11,7,14
"Bergenfield Borough School District, New Jersey","3401500",18873,2081,5549,4297,5142,1804,3632,248,1265,1079,724,316,4967,285,1545,1265,1271,601,564,103,165,107,105,84,9710,1445,2574,1846,3042,803
"Berkeley Heights Township School District, New Jersey","3401530",9179,440,1685,1406,3052,2596,4428,241,1091,673,1509,914,2831,39,263,429,1122,978,104,71,0,17,9,7,1816,89,331,287,412,697
"Berlin Township School District, New Jersey","3401620",3842,515,1586,984,579,178,2039,266,878,538,314,43,1286,117,576,351,175,67,54,0,27,0,14,13,463,132,105,95,76,55
"Bernards Township School District, New Jersey","3401650",17527,447,1963,2736,6304,6077,6828,175,1122,1271,2550,1710,6628,87,541,1077,2678,2245,124,9,31,10,41,33,3947,176,269,378,1035,2089
"Beverly City School District, New Jersey","3401740",1672,186,613,612,173,88,940,89,357,331,90,73,541,53,176,234,63,15,57,8,31,13,5,0,134,36,49,34,15,0
"Bloomfield Township School District, New Jersey","3401830",33320,3326,8152,8957,8678,4207,13971,1127,4268,3811,3310,1455,6067,143,1143,1647,1847,1287,1169,275,409,277,175,33,12113,1781,2332,3222,3346,1432
"Bloomingdale Borough School District, New Jersey","3401860",5787,483,2125,1595,1086,498,3345,180,1224,1073,600,268,1319,75,510,254,281,199,153,50,68,35,0,0,970,178,323,233,205,31
"Bloomsbury Borough School District, New Jersey","3401890",512,48,123,157,125,59,273,19,95,73,61,25,176,9,22,59,52,34,0,0,0,0,0,0,63,20,6,25,12,0
"Bogota Borough School District, New Jersey","3401920",5425,437,2077,1434,910,567,1524,128,474,510,262,150,1297,21,491,413,248,124,150,0,105,18,17,10,2454,288,1007,493,383,283
"Boonton Town School District, New Jersey","3401950",5855,547,1366,1267,1875,800,2939,200,661,683,1062,333,1483,41,285,311,511,335,23,15,8,0,0,0,1410,291,412,273,302,132
"Boonton Township School District, New Jersey","3401980",3072,109,647,625,876,815,1640,59,437,317,479,348,1007,18,147,215,317,310,14,0,3,0,11,0,411,32,60,93,69,157
"Bordentown Regional School District, New Jersey","3402030",10947,566,3304,2878,2667,1532,6516,334,2319,1853,1342,668,2602,86,579,772,734,431,187,0,60,67,0,60,1642,146,346,186,591,373
"Bound Brook Borough School District, New Jersey","3402100",7258,1643,2696,1486,849,584,2570,255,974,666,349,326,1367,61,505,372,300,129,208,134,40,20,7,7,3113,1193,1177,428,193,122
"Bradley Beach Borough School District, New Jersey","3402130",3092,362,621,940,699,470,1932,180,419,595,515,223,739,13,89,273,148,216,114,0,78,13,23,0,307,169,35,59,13,31
"Branchburg Township School District, New Jersey","3402160",9961,340,1626,1990,3379,2626,5304,90,1030,1212,1741,1231,2656,64,368,459,991,774,86,0,0,0,54,32,1915,186,228,319,593,589
"Brick Township School District, New Jersey","3402220",54134,4079,19966,15757,10498,3834,35812,2260,14105,10402,6945,2100,13184,765,4230,4261,2604,1324,695,112,184,230,159,10,4443,942,1447,864,790,400
"Bridgeton City School District, New Jersey","3402250",15256,6107,5585,2657,645,262,7478,1780,3403,1839,317,139,2227,594,958,502,133,40,743,444,211,70,18,0,4808,3289,1013,246,177,83
"Bridgewater-Raritan Regional School District, New Jersey","3402280",35564,1696,7821,6977,10569,8501,15911,623,3910,3720,4721,2937,8030,386,1397,1599,2470,2178,374,63,67,80,104,60,11249,624,2447,1578,3274,3326
"Brielle Borough School District, New Jersey","3402310",3393,109,405,805,1306,768,2298,19,313,527,997,442,893,27,82,240,303,241,18,0,0,0,6,12,184,63,10,38,0,73
"Brigantine City School District, New Jersey","3402340",7172,587,2003,2112,1777,693,2778,151,819,811,829,168,3515,263,1064,1022,735,431,108,0,22,77,9,0,771,173,98,202,204,94
"Brooklawn Borough School District, New Jersey","3402370",1296,183,552,368,170,23,765,55,369,232,92,17,362,45,137,97,77,6,44,19,3,22,0,0,125,64,43,17,1,0
"Buena Regional School District, New Jersey","3402400",8652,1314,3628,2256,937,517,5142,598,2276,1513,454,301,2200,233,902,587,387,91,495,257,148,90,0,0,815,226,302,66,96,125
"Burlington City School District, New Jersey","3402430",6799,685,2742,2114,808,450,3659,414,1608,1052,386,199,2323,156,894,754,327,192,107,41,14,16,0,36,710,74,226,292,95,23
"Burlington Township School District, New Jersey","3402460",14584,1087,4775,4043,3255,1424,6221,336,2209,1841,1308,527,5414,437,1517,1583,1366,511,380,19,85,56,149,71,2569,295,964,563,432,315
"Butler Borough School District, New Jersey","3402520",5455,570,1709,1330,1324,522,3308,216,1115,881,791,305,1059,45,299,189,373,153,55,9,0,14,23,9,1033,300,295,246,137,55
"Caldwell-West Caldwell School District, New Jersey","3402580",13516,918,3018,2913,4047,2620,8256,331,2194,1727,2492,1512,2837,29,353,689,1046,720,169,8,61,20,32,48,2254,550,410,477,477,340
"Camden City School District, New Jersey","3402640",43365,13774,16351,9669,2655,916,18793,4589,7479,5160,1271,294,8438,2089,3218,2037,651,443,7840,4027,2501,1138,121,53,8294,3069,3153,1334,612,126
"Cape May Point Borough School District, New Jersey","3402760",198,4,40,33,62,59,40,0,9,8,13,10,154,4,31,24,49,46,0,0,0,0,0,0,4,0,0,1,0,3
"Carteret Borough School District, New Jersey","3402820",15794,2618,5359,4210,2482,1125,5837,540,2532,1610,827,328,2350,328,940,750,134,198,1134,429,317,222,91,75,6473,1321,1570,1628,1430,524
"Cedar Grove Township School District, New Jersey","3402850",9270,737,2525,1594,2947,1467,5429,355,1672,1007,1694,701,1778,119,293,224,722,420,125,16,32,0,12,65,1938,247,528,363,519,281
"Cherry Hill Township School District, New Jersey","3403000",49655,2949,9931,10289,15183,11303,14627,716,3453,3269,4776,2413,23689,1038,4471,4865,7308,6007,781,154,202,219,98,108,10558,1041,1805,1936,3001,2775
"Chesilhurst Borough School District, New Jersey","3403030",1258,236,497,376,105,44,594,94,253,152,67,28,500,87,178,188,35,12,36,0,30,6,0,0,128,55,36,30,3,4
"Cinnaminson Township School District, New Jersey","3403120",11783,792,3532,3006,2953,1500,3729,212,1256,947,944,370,6930,327,2125,1848,1736,894,228,63,29,49,54,33,896,190,122,162,219,203
"Clark Township School District, New Jersey","3403150",10923,732,3477,2456,2749,1509,7467,314,2560,1811,1873,909,1462,71,298,331,429,333,131,14,15,29,55,18,1863,333,604,285,392,249
"Clayton Borough School District, New Jersey","3403180",5135,571,2246,1292,748,278,3029,306,1512,646,465,100,1744,183,698,509,196,158,84,7,0,45,12,20,278,75,36,92,75,0
"Clementon Borough School District, New Jersey","3403240",3507,452,1146,1297,453,159,2136,242,616,887,333,58,1218,153,459,402,103,101,33,0,33,0,0,0,120,57,38,8,17,0
"Cliffside Park Borough School District, New Jersey","3403270",18869,2563,5317,3239,4855,2895,4413,258,1617,874,1219,445,4134,199,930,790,1158,1057,769,162,146,109,340,12,9553,1944,2624,1466,2138,1381
"Clifton City School District, New Jersey","3403300",57787,7020,19026,14194,11415,6132,21377,1601,7679,5456,4460,2181,7508,480,2023,2061,1698,1246,2292,654,693,372,497,76,26610,4285,8631,6305,4760,2629
"Collingswood Borough School District, New Jersey","3403420",10171,852,2269,2748,2711,1591,4675,278,1300,1375,1199,523,4626,356,790,1205,1292,983,133,5,39,57,19,13,737,213,140,111,201,72
"Commercial Township School District, New Jersey","3403480",3395,775,1563,898,119,40,2234,412,1086,612,96,28,930,254,431,222,23,0,136,92,0,44,0,0,95,17,46,20,0,12
"Corbin City School District, New Jersey","3403510",419,36,221,78,52,32,285,25,156,51,35,18,120,11,54,24,17,14,2,0,0,2,0,0,12,0,11,1,0,0
"Cranbury Township School District, New Jersey","3403540",2568,88,392,477,885,726,1238,28,274,340,425,171,857,8,88,117,297,347,0,0,0,0,0,0,473,52,30,20,163,208
"Cranford Township School District, New Jersey","3403570",16402,599,3585,3781,5271,3166,9881,291,2384,2388,3145,1673,4611,103,706,884,1671,1247,124,4,32,49,4,35,1786,201,463,460,451,211
"Cresskill Borough School District, New Jersey","3403600",6037,355,1184,1057,2098,1343,1491,111,366,353,479,182,1977,54,517,389,611,406,120,13,6,52,12,37,2449,177,295,263,996,718
"Deal Borough School District, New Jersey","3403630",608,85,176,155,143,49,205,8,63,55,71,8,259,45,57,79,51,27,17,6,4,0,7,0,127,26,52,21,14,14
"Delanco Township School District, New Jersey","3403690",3337,201,1307,977,550,302,1764,122,712,547,234,149,1405,65,548,424,255,113,6,0,0,0,6,0,162,14,47,6,55,40
"Delran Township School District, New Jersey","3403780",11724,1045,3622,2553,3081,1423,4421,337,1505,923,1139,517,4994,152,1415,1191,1607,629,142,55,58,7,0,22,2167,501,644,432,335,255
"Dennis Township School District, New Jersey","3403840",4542,500,1764,1369,687,222,2545,288,1007,698,478,74,1887,195,713,655,186,138,43,13,4,0,16,10,67,4,40,16,7,0
"Deptford Township School District, New Jersey","3403900",21476,2105,9129,5550,3287,1405,9728,811,4458,2721,1211,527,9476,977,4062,2360,1425,652,233,18,51,83,18,63,2039,299,558,386,633,163
"Dover Town School District, New Jersey","3403930",13186,3692,4805,2893,1392,404,3126,347,1066,1179,383,151,1356,230,407,366,271,82,1013,273,334,312,82,12,7691,2842,2998,1036,656,159
